name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance 
Shard Games,3,Novation Games,Novation Games,98799,84722,778,0.57,-1.00,-1.00,-1.00
Blade Ballet,59,DreamSail Games,DreamSail Games,5735,4953,785,5.80,-1.00,-1.00,-1.00
Huntsman: The Orphanage (Halloween Edition),1,ShadowShifters,ShadowShifters,149111,15380,0,0.41,-1.00,-1.00,-1.00
 Antinomy of Common Flowers.,74,黄昏フロンティア,"SUNFISH Co., Ltd.",16944,16162,7820,9.57,-1.00,-1.00,-1.00
Beyond the City VR,,成都小微云联 LittleV,成都小微云联 LittleV,3650,1555,0,0.00,-1.00,-1.00,-1.00
Overcoming Pain,31,tom_jackson,tom_jackson,784,784,784,2.67,-1.00,-1.00,-1.00
Mass Effect,89,BioWare,Electronic Arts,1695221,1368585,15380,16.54,-1.00,-1.00,-1.00
Captivity,6,Trauma,New Worlds Games,41709,39884,0,0.85,-1.00,-1.00,-1.00
Big Buck Hunter Arcade,10,GameMill Entertainment,GameMill Entertainment,8342,2607,0,1.08,-1.00,-1.00,-1.00
Prince of Persia: The Two Thrones,40,Ubisoft Montreal,Ubisoft,220798,70384,785,3.53,-1.00,-1.00,-1.00
The IOTA Project,30,DreamSail Games,DreamSail Games,20333,9645,1952,2.55,-1.00,-1.00,-1.00
Call of Juarez Gunslinger,92,Techland,Ubisoft,1044557,802382,9385,20.73,-1.00,-1.00,-1.00
Sunrise: survival,13,Fedorov Ilya & Andrew Konovalov,Fedorov Ilya & Andrew Konovalov,2346,1825,0,1.37,-1.00,-1.00,-1.00
Teeworlds,71,Teeworlds Team,Teeworlds Team,958271,774228,14598,8.32,-1.00,-1.00,-1.00
Metro: Last Light Redux,89,4A Games,Deep Silver,2092502,1135796,44577,15.86,-1.00,-1.00,-1.00
PARTICLE MACE,71,Andy Wallace,EQG,241653,151717,2745,8.50,-1.00,-1.00,-1.00
CHAOS - In the Darkness,3,4Realms,4Realms,1564,778,0,0.61,-1.00,-1.00,-1.00
Riptale,95,Super God,Super God,1825,1303,0,25.67,-1.00,-1.00,-1.00
Deus Ex: Invisible War,15,Ion Storm,Square Enix,930638,185346,2085,1.49,-1.00,-1.00,-1.00
Ace of Seafood,82,Nussoft,AGM PLAYISM,15641,11470,1570,11.53,-1.00,-1.00,-1.00
Minimum,17,,"Atari, Cubed Productions LLC",204115,179611,1171,1.58,-1.00,-1.00,-1.00
Soccertron,42,David Erosa,Erosa Games,15902,8342,0,3.67,-1.00,-1.00,-1.00
Grim Dawn,78,Crate Entertainment,Crate Entertainment,1182197,1079227,77684,11.34,-1.00,-1.00,-1.00
Mission: Escape from Island,12,Falcoware,Atriagames,35192,33628,778,1.23,-1.00,-1.00,-1.00
Trashville,5,bch waves studio,bch waves studio,334978,304738,2868,0.71,-1.00,-1.00,-1.00
Sword Legacy Omen,,"Fableware, Firecast Studio",Team17 Digital Ltd,1570,0,0,0.00,-1.00,-1.00,-1.00
One Final Breath,0,Dark Day Interactive,Dark Day Interactive,15902,8863,0,0.20,-1.00,-1.00,-1.00
Salvation Prophecy,21,Firedance Games,,28936,21115,778,1.79,-1.00,-1.00,-1.00
3089 -- Futuristic Action RPG,33,Phr00t's Software,Phr00t's Software,57090,41449,781,2.75,-1.00,-1.00,-1.00
Gauntlet Slayer Edition,40,Arrowhead Game Studios,WB Games,815156,721831,9385,3.36,-1.00,-1.00,-1.00
Call of Duty: Black Ops,68,Treyarch,Activision,3691792,3100042,42231,7.83,-1.00,-1.00,-1.00
Rocket Fist,67,"Daniel Snd, Thiago Adamo, Bitten Toast Games Inc.",Bitten Toast Games Inc.,3389,1825,0,7.38,-1.00,-1.00,-1.00
Supraball,40,Supra Games,Supra Games,331589,254427,16684,3.50,-1.00,-1.00,-1.00
Blowy Fish,25,One Man Band Games,One Man Band Games,10949,6256,0,2.20,-1.00,-1.00,-1.00
Tom Clancy's Splinter Cell Double Agent,6,Ubisoft Montreal,Ubisoft,257294,95931,785,0.85,-1.00,-1.00,-1.00
Reptilian Rebellion,37,Herrero Games,Herrero Games,37538,31021,784,3.08,-1.00,-1.00,-1.00
Ride the Bullet,19,Jordan Sendar,Jordan Sendar,6778,784,0,1.71,-1.00,-1.00,-1.00
The Quest for Achievements II,,StarSystemStudios™,StarSystemStudios™,35714,3389,1043,0.00,-1.00,-1.00,-1.00
Super Amazing Wagon Adventure,89,sparsevector,sparsevector,141551,107923,1825,17.91,-1.00,-1.00,-1.00
Real Heroes: Firefighter,28,"Scientifically Proven Entertainment, LLC., Flying Tiger Entertainment,Inc.","Flying Tiger Entertainment,Inc. , Open-2",4692,2734,1172,2.44,-1.00,-1.00,-1.00
Monster Bash,62,3D Realms (Apogee Software),Apogee Software,61260,3910,0,6.25,-1.00,-1.00,-1.00
Arcane Worlds,13,Ranmantaru Games,Ranmantaru Games,33889,13034,0,1.29,-1.00,-1.00,-1.00
Colorless Life,,HIPIX,HIPIX,4692,785,0,0.00,-1.00,-1.00,-1.00
Waking Mars,71,Tiger Style,Tiger Style,278670,69602,1568,8.89,-1.00,-1.00,-1.00
Olympic Team,,oblomysh,oblomysh,5735,778,778,0.00,-1.00,-1.00,-1.00
Space Hack,5,,Meridian4,573502,104795,2333,0.76,-1.00,-1.00,-1.00
Tinertia,95,"Candescent Games, Section Studios",Candescent & Section,3910,2868,0,26.67,-1.00,-1.00,-1.00
TowerClimb,82,Davioware and Quazi,Davioware and Quazi,8081,7299,0,12.47,-1.00,-1.00,-1.00
Fallen Times,40,DaFu Studio,DaFu Studio,1043,782,0,3.43,-1.00,-1.00,-1.00
Carmageddon 2: Carpocalypse Now,74,Stainless Games Ltd,Stainless Games Ltd,85765,46923,0,9.69,-1.00,-1.00,-1.00
Way of the Samurai 4,44,ACQUIRE Corp.,Ghostlight LTD,69602,63607,781,3.99,-1.00,-1.00,-1.00
Sword Art Online: Hollow Realization Deluxe Edition,59,AQURIA,BANDAI NAMCO Entertainment,58393,56047,10167,5.85,-1.00,-1.00,-1.00
Deadfall Adventures,30,The Farm 51,THQ Nordic,130341,80812,784,2.56,-1.00,-1.00,-1.00
Riot of the numbers,12,Mihai Morosanu,Mihai Morosanu,58393,56308,0,1.22,-1.00,-1.00,-1.00
Masked Shooters,22,FreezeNova,FreezeNova,7560,5474,0,1.89,-1.00,-1.00,-1.00
Crazy Taxi,44,SEGA,SEGA,339149,123824,4432,3.99,-1.00,-1.00,-1.00
Ballistic Overkill,42,Aquiris Game Studio,Green Man Gaming Publishing,105577,100102,8603,3.69,-1.00,-1.00,-1.00
FeArea,,MUVGAMES,MUVGAMES,6778,2346,1555,0.00,-1.00,-1.00,-1.00
Monsters & Munitions,3,Amazing Atom,MumboJumbo,1043,1043,0,0.60,-1.00,-1.00,-1.00
Super Mutant Alien Assault,97,Cybernate,Surprise Attack,2868,1564,785,34.00,-1.00,-1.00,-1.00
Faces of War,65,Best Way,1C Company,76380,42231,1564,6.93,-1.00,-1.00,-1.00
ORION: Prelude,35,"Trek Industries, Inc","Trek Industries, Inc",2435561,1831298,13295,2.94,-1.00,-1.00,-1.00
ecotone,74,Sundae Factory,Sundae Factory,1562,781,0,9.50,-1.00,-1.00,-1.00
Armored Evolution,,Burst2Flame Entertainment,New Reality Games,785,0,0,0.00,-1.00,-1.00,-1.00
Casey Powell Lacrosse 16,42,"Big Ant Studios, Crosse Studios",Big Ant Studios,3128,2868,0,3.60,-1.00,-1.00,-1.00
Rocket Knight,47,Climax Studios,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",11731,10167,1171,4.12,-1.00,-1.00,-1.00
Primordian,47,Stonepunk Studios,Stonepunk Studios,1825,1303,1303,4.09,-1.00,-1.00,-1.00
Tadpole Treble,95,BitFinity,"BitFinity, Sunken Treasure Games",11731,8342,778,24.50,-1.00,-1.00,-1.00
Epic Battle Simulator 2,,Rappid Studios,Rappid Studios,1176,1176,1570,0.00,-1.00,-1.00,-1.00
Apartment 666,2,I Need Play,I Need Play,166055,144940,11731,0.51,-1.00,-1.00,-1.00
Street Fighter X Tekken,14,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",140769,128777,1562,1.40,-1.00,-1.00,-1.00
Selknam Defense,5,,,19291,4692,0,0.76,-1.00,-1.00,-1.00
Crashnauts,95,Fueled By Rockets,Fueled By Rockets,785,785,0,28.00,-1.00,-1.00,-1.00
Survivor Squad,23,Endless Loop Studios,Endless Loop Studios,161102,111312,785,2.00,-1.00,-1.00,-1.00
What The Box?,49,"Daniel Snd, Thiago Adamo",Bitten Toast Games Inc.,55004,50051,1561,4.35,-1.00,-1.00,-1.00
Light Tracer,,Void Dimensions,Oasis Games,781,781,781,0.00,-1.00,-1.00,-1.00
Pale Moon Crisis,7,Alibi,Alibi,1570,1570,0,0.91,-1.00,-1.00,-1.00
Cogs and Cowboys,21,MostWanted Game Development,MostWanted Game Development,1564,1564,0,1.83,-1.00,-1.00,-1.00
On a Roll,39,Creative Concepts,Creative Concepts,1564,1564,0,3.22,-1.00,-1.00,-1.00
Orange Moon,23,Betelgeuse Zero,Betelgeuse Zero,32064,18769,785,2.00,-1.00,-1.00,-1.00
Prehistorik,7,Interplay,Games For All,23461,1564,0,0.92,-1.00,-1.00,-1.00
Adventure Time: Magic Man's Head Games,39,Turbo Button,Cartoon Network,5735,4432,0,3.28,-1.00,-1.00,-1.00
The Adventure Pals,,Massive Monster,Armor Games Studios,781,781,0,0.00,-1.00,-1.00,-1.00
VRobot: VR Giant Robot Destruction Simulator,53,Luden.io,Nival,6517,3650,0,5.00,-1.00,-1.00,-1.00
Apocalypse: The Game,,Harley Game Studios,Harley GW Dolton,3389,782,785,0.00,-1.00,-1.00,-1.00
Mitsurugi Kamui Hikae,53,Zenith Blue,AGM PLAYISM,182217,130341,778,4.94,-1.00,-1.00,-1.00
Dungeon Fighter Online,42,Neople,Neople,606870,510939,11991,3.65,-1.00,-1.00,-1.00
Carnivore Land,67,dwCrew,dwCrew,1172,1172,0,8.00,-1.00,-1.00,-1.00
Rocking Pilot,,"Gungrounds, Mad Head Games",Mad Head Games,4432,3389,0,0.00,-1.00,-1.00,-1.00
Canabalt,62,"Finji, Kittehface Software",Finji,44055,20333,785,6.54,-1.00,-1.00,-1.00
ICED,25,Anea_Duo_Dev,Anea_Duo_Dev,63607,62825,11991,2.15,-1.00,-1.00,-1.00
Genetic Disaster,16,Team8 Studio,Team8 Studio,2607,1043,0,1.54,-1.00,-1.00,-1.00
"Filthy, Stinking, Orcs!",,Winding Way Games,Winding Way Games,48226,1303,0,0.00,-1.00,-1.00,-1.00
Worst Case Z,37,BME Digital Studios,BME Digital Studios,15380,10688,0,3.00,-1.00,-1.00,-1.00
MacGuffin,28,Concrete Games,Concrete Games,6517,1171,0,2.44,-1.00,-1.00,-1.00
Life Goes On: Done to Death,95,Infinite Monkeys Entertainment Ltd.,Infinite Monkeys Entertainment Ltd.,92542,55786,5474,28.70,-1.00,-1.00,-1.00
Space Thinger,4,Wytchlight,Wytchlight,21637,1825,778,0.69,-1.00,-1.00,-1.00
Sky To Fly: Faster Than Wind,30,AIVIK LLC,Absolutist Ltd.,14859,10949,0,2.45,-1.00,-1.00,-1.00
Son Korsan,1,Consala Games,Consala Games,24504,13556,0,0.35,-1.00,-1.00,-1.00
Iron Front: Digital War Edition,17,"X1 Software, AWAR",Deep Silver,86025,77162,1172,1.59,-1.00,-1.00,-1.00
POP: Methodology Experiment One,18,Rob Lach,Rob Lach Games,5735,2868,0,1.69,-1.00,-1.00,-1.00
Ascend: Hand of Kul,,Signal Studios,Signal Studios,631113,338627,785,2.20,-1.00,-1.00,-1.00
Equalizer,40,Sergey Shushunov,Sergey Shushunov,4953,785,0,3.50,-1.00,-1.00,-1.00
Keep Defending,92,Faster Time Games Limited,Faster Time Games Limited,1569,1176,0,22.00,-1.00,-1.00,-1.00
Fallout: New Vegas,92,Obsidian Entertainment,Bethesda Softworks,5123202,4475405,150153,21.57,-1.00,-1.00,-1.00
Battletank LOBA,2,Five Archers Games,Strategy First,2346,2085,0,0.43,-1.00,-1.00,-1.00
Black Desert Online,28,Pearl Abyss,Kakao Games Europe B.V.,973651,906395,165012,2.43,-1.00,-1.00,-1.00
Slybots: Frantic Zone,51,"Team ERROR, Tiny Colossus",Mangatar Games,2346,1825,0,4.57,-1.00,-1.00,-1.00
Mini's Magic World,100,Magory.net,Magory.net,2085,1825,0,7.00,-1.00,-1.00,-1.00
ENSLAVED: Odyssey to the West Premium Edition,59,Ninja Theory,BANDAI NAMCO Entertainment,438990,195512,4665,5.71,-1.00,-1.00,-1.00
Delta Force 2,62,NovaLogic,"NovaLogic, THQ Nordic",32064,15380,0,6.29,-1.00,-1.00,-1.00
Balloon Chair Death Match,82,Climax Studios Ltd,Climax Studios Ltd,4953,1569,0,12.00,-1.00,-1.00,-1.00
MC Lars: The Video Game,59,"Synersteel Studio, LLC","Synersteel Studio, LLC",2085,0,0,6.00,-1.00,-1.00,-1.00
The Swapper,95,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,806814,395717,2085,28.50,-1.00,-1.00,-1.00
ARSLAN: THE WARRIORS OF LEGEND,31,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",7820,6517,0,2.68,-1.00,-1.00,-1.00
Battle Bruise,92,Zanardi and Liza,Zanardi and Liza,15120,9385,784,19.56,-1.00,-1.00,-1.00
ALONE? - VR,23,Deceptive Games Ltd.,Deceptive Games Ltd.,5735,3910,0,2.00,-1.00,-1.00,-1.00
Bloodbath Kavkaz,25,Dagestan Technology,Dagestan Technology,368606,215845,4171,2.16,-1.00,-1.00,-1.00
Block Blowout,,EnsenaSoft,EnsenaSoft,58654,37017,0,0.67,-1.00,-1.00,-1.00
Doomed'n Damned,5,Arc-gen,Arc-gen,9124,1176,0,0.75,-1.00,-1.00,-1.00
A Sirius Game,10,"Overcloud9, Phantasm Games",Aldorlea Games,15902,13816,0,1.10,-1.00,-1.00,-1.00
Kick-Ass 2,0,Freedom Factory,United Independent Entertainment GmbH,18248,11991,0,0.22,-1.00,-1.00,-1.00
Fastigium,9,ifgames studio,ifgames studio,12773,3128,778,1.00,-1.00,-1.00,-1.00
Strike Suit Zero,42,Born Ready Games Ltd.,Born Ready Games,502075,301089,781,3.61,-1.00,-1.00,-1.00
PIRATADO 1,,Ryabov Eduard,RyabovEduard,4953,0,0,0.00,-1.00,-1.00,-1.00
Evil Robot Traffic Jam HD,37,"Element Games, LLC","Element Games, LLC",3910,1172,0,3.00,-1.00,-1.00,-1.00
Project Night,,Riccardo Deias,Riccardo Deias,22679,12252,0,0.35,-1.00,-1.00,-1.00
Johnny GravesThe Unchosen One,28,Stupid Stupid Games,Stupid Stupid Games,13556,781,0,2.33,-1.00,-1.00,-1.00
Hypnorain,23,keyreal,keyreal,2607,2085,784,2.00,-1.00,-1.00,-1.00
Far Space VR,27,Alexey Glinskiy,Alexey Glinskiy,17466,13295,2352,2.28,-1.00,-1.00,-1.00
OBEY,71,Dez,"The Lo-Fi Apocalypse, Inc.",13556,11991,785,8.46,-1.00,-1.00,-1.00
War Truck Simulator (Restocked),,dev4play,dev4play,784,0,0,0.00,-1.00,-1.00,-1.00
Valkyria Chronicles,82,SEGA,SEGA,954100,662135,7038,12.07,-1.00,-1.00,-1.00
Soldier Front 2,47,Dragonfly,Aeria Games,676994,337063,2346,4.08,-1.00,-1.00,-1.00
Shalnor Legends: Sacred Lands,,Johnny Ostad,Johnny Ostad,785,0,0,0.00,-1.00,-1.00,-1.00
SMITE,53,Hi-Rez Studios,Hi-Rez Studios,7512101,5441757,304217,5.25,-1.00,-1.00,-1.00
I wanna be The Cat,95,Nemega,Blue Gate ,1825,1564,1043,25.00,-1.00,-1.00,-1.00
Dungeon League,67,Achebit,Surprise Attack,4171,2868,0,7.75,-1.00,-1.00,-1.00
TY the Tasmanian Tiger 4,56,Krome Studios,Krome Studios,17726,11470,0,5.55,-1.00,-1.00,-1.00
Grimm: Dark Legacy,11,Artplant,GamesCo,3137,2353,0,1.15,-1.00,-1.00,-1.00
Half-Life 2: Deathmatch,68,Valve,Valve,14650121,3648519,16944,8.02,-1.00,-1.00,-1.00
MechDefender,,Badim,Badim,58393,57872,0,0.00,-1.00,-1.00,-1.00
Divinia Chronicles: Relics of Gan-Ti,74,Team Monkey,Team Monkey,7820,785,0,9.33,-1.00,-1.00,-1.00
Mighty Monster Mayhem,39,Rank17,Rank17,1043,781,0,3.25,-1.00,-1.00,-1.00
The Shadows of Pygmalion,78,propeller,MangaGamer,1043,781,0,10.50,-1.00,-1.00,-1.00
Veritex,,Veritex Studios LLC,Veritex Studios LLC,785,0,0,0.00,-1.00,-1.00,-1.00
ACE - Arena: Cyber Evolution,24,Spearhead Games,Spearhead Games,513024,204115,781,2.06,-1.00,-1.00,-1.00
Disney Planes,37,Behaviour Interactive,Disney Interactive,12773,5735,0,3.00,-1.00,-1.00,-1.00
Battle Battalions,13,Petroglyph,Petroglyph ,194469,101406,781,1.32,-1.00,-1.00,-1.00
BoxMaker,28,"Silver Moon Internet, 银月网络","Silver Moon Internet, 银月网络",2085,3139,0,2.38,-1.00,-1.00,-1.00
Soda Girls,86,Bomber Studio,Bomber Studio,3128,2732,0,15.00,-1.00,-1.00,-1.00
Dungeons and Robots,19,Glow Games Studio,Digital Tribe,6256,5735,0,1.75,-1.00,-1.00,-1.00
Save Our Souls - Episode I,3,Relentless Game Studios,Relentless Game Studios,1564,1562,0,0.56,-1.00,-1.00,-1.00
Roomscale Coaster,100,Blue Entropy Studios,Blue Entropy Studios,3650,2085,0,8.00,-1.00,-1.00,-1.00
Mech Skeleton,,Heavy Kick Games,Heavy Kick Games,2346,0,0,0.00,-1.00,-1.00,-1.00
Cally's Caves 3,51,VDO Games,VDO Games,45359,27111,1172,4.60,-1.00,-1.00,-1.00
Radar Warfare,,DreamRoad Productions,DreamRoad Productions,1176,0,0,0.00,-1.00,-1.00,-1.00
Destiny of Ancient Kingdoms,9,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,76901,34932,781,1.03,-1.00,-1.00,-1.00
Disc Jam,37,High Horse Entertainment,High Horse Entertainment,22419,21376,1176,3.14,-1.00,-1.00,-1.00
Congo,15,The Innocent Devils,,4432,3910,0,1.47,-1.00,-1.00,-1.00
Anodyne,56,"Sean Han Tani, Joni Kittaka",Analgesic Productions,190299,101666,785,5.54,-1.00,-1.00,-1.00
Velocity 2X,23,FuturLab,Sierra,55786,9906,785,1.96,-1.00,-1.00,-1.00
SWEATER? OK!,65,Triple-Star Studio,Rock Path Collective,14338,9906,784,6.90,-1.00,-1.00,-1.00
Knight Squad,59,Chainsawesome Games,Chainsawesome Games,97756,40145,1172,5.78,-1.00,-1.00,-1.00
Tobe's Vertical Adventure,16,Secret Base,Secret Base,84722,26329,0,1.53,-1.00,-1.00,-1.00
Aqua Moto Racing Utopia,40,Zordix AB,Zordix AB,1043,782,0,3.43,-1.00,-1.00,-1.00
Mother Russia Bleeds,62,Le Cartel Studio,Devolver Digital,211414,111572,3389,6.39,-1.00,-1.00,-1.00
Visitors,28,Black Side,Black Side,15641,784,0,2.42,-1.00,-1.00,-1.00
Vikings - Wolves of Midgard,13,Games Farm,Kalypso Media Digital,51615,45098,2346,1.28,-1.00,-1.00,-1.00
Mad Dagger,9,YarGri,YarGri,158495,148329,785,1.04,-1.00,-1.00,-1.00
Darwin Project - Coming soon,51,Scavengers Studio,Scavengers Studio,200205,144679,135555,4.78,-1.00,-1.00,-1.00
OVERTURN,89,STUDIO HG,YJM GAMES,1825,1564,785,18.50,-1.00,-1.00,-1.00
Age of Survival,0,Seattletek,Seattletek,14859,10427,0,0.17,-1.00,-1.00,-1.00
Unlikely Stickman,27,,,15380,3128,1561,2.27,-1.00,-1.00,-1.00
Trapped Summoner,,Trapped Team,Trapped Team,785,785,0,0.00,-1.00,-1.00,-1.00
Siegecraft Commander,21,Blowfish Studios,Blowfish Studios,3650,2607,0,1.85,-1.00,-1.00,-1.00
RETSNOM,56,Somi,Zero Rock Entertainment,9124,5996,0,5.50,-1.00,-1.00,-1.00
Inescapable,4,Magnetic Realms,Magnetic Realms,15120,3389,0,0.68,-1.00,-1.00,-1.00
Saint Seiya: Soldiers' Soul,78,DIMPS,BANDAI NAMCO Entertainment,42491,36235,1564,10.46,-1.00,-1.00,-1.00
Super Snow Fight,100,Patrick God,Deck13,3389,1568,0,23.00,-1.00,-1.00,-1.00
Tales of Destruction,0,Tero Lunkka,Tero Lunkka,264072,240350,3650,0.20,-1.00,-1.00,-1.00
Anti Gravity Warriors VR,,Niket Patel,Niket Patel,9385,4953,784,0.00,-1.00,-1.00,-1.00
RUNNING WITH RIFLES,71,Osumia Games,Osumia Games,316208,294832,10949,8.17,-1.00,-1.00,-1.00
Imprisoned Light,31,imaginite Ltd,imaginite Ltd,10949,7820,0,2.64,-1.00,-1.00,-1.00
Goblins and Grottos,35,"Psychic Software, Goblin Portal","Psychic Software, Goblin Portal",4171,3389,0,2.89,-1.00,-1.00,-1.00
Delay,51,Matt Frank,baconlovarstudios,4171,1176,0,4.75,-1.00,-1.00,-1.00
HELLDIVERS,78,Arrowhead Game Studios,"PlayStation Mobile, Inc.",633199,579498,22679,11.16,-1.00,-1.00,-1.00
Bombastic Cars,,XOA Productions,XOA Productions,1564,782,0,0.00,-1.00,-1.00,-1.00
Pirate Hell,13,Sascha Hartleb,Sascha Hartleb,2868,1570,0,1.33,-1.00,-1.00,-1.00
Startide,,"Swimming Scorpions, MMEU",Forever Entertainment S. A.,2868,785,0,0.00,-1.00,-1.00,-1.00
Spacecraft,5,Spacevb Studio,Spacevb Studio,29196,2346,781,0.78,-1.00,-1.00,-1.00
Psi Project: Legacy,11,Vyacheslav Shilikhin,Vyacheslav Shilikhin,14338,2346,1564,1.18,-1.00,-1.00,-1.00
Saints Row: Gat out of Hell,35,"Deep Silver Volition, High Voltage Software",Deep Silver,696806,433516,6256,2.89,-1.00,-1.00,-1.00
Emily Wants to Play Too,49,Shawn Hitchcock,SKH Apps,3128,1561,781,4.30,-1.00,-1.00,-1.00
Attack of the Bugs,86,Empty Clip Studios,Empty Clip Studios,1176,784,0,14.00,-1.00,-1.00,-1.00
TTV2,97,Walter Machado,Walter Machado,1564,784,0,37.00,-1.00,-1.00,-1.00
One More Dungeon,44,Stately Snail,Stately Snail,68560,49008,781,3.98,-1.00,-1.00,-1.00
SINISTRY SILINIUM,27,Igrodelsky,Siberian Digital,18508,11209,0,2.29,-1.00,-1.00,-1.00
Escape 2042 - The Truth Defenders,,OrionSoft,OrionSoft,3128,0,0,0.00,-1.00,-1.00,-1.00
Minds Eyes,27,Stanislaw Truchowski,TurnVex,185867,135034,1562,2.29,-1.00,-1.00,-1.00
Drug Wars,1,Paleo Entertainment,Paleo Entertainment,3910,3910,784,0.42,-1.00,-1.00,-1.00
Cosmo's Cosmic Adventure,56,3D Realms (Apogee Software),3D Realms (Apogee Software),69863,5996,0,5.38,-1.00,-1.00,-1.00
Moving Hazard,33,"IllFonic, Psyop Games",Psyop Games,7560,3910,0,2.73,-1.00,-1.00,-1.00
Tile Rider,62,7 Soft Pillows,7 Soft Pillows,1564,1303,0,6.50,-1.00,-1.00,-1.00
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,62,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",1813311,1321141,16162,6.67,-1.00,-1.00,-1.00
Of Orcs And Men,31,Cyanide Studio - Spiders Studios,Focus Home Interactive,210110,114440,0,2.62,-1.00,-1.00,-1.00
Molten Armor,31,Brutal Muse Studio,Brutal Muse Studio,785,785,0,2.67,-1.00,-1.00,-1.00
Red Lake,5,Talentplace,KishMish Games,308649,256512,15120,0.73,-1.00,-1.00,-1.00
Void Vikings,100,"Ugly Beard Games, LLC","Ugly Beard Games, LLC",2346,0,0,2.00,-1.00,-1.00,-1.00
Stickman Safe and Destroy,,alexeibelih,alexeibelih,6778,1562,1562,0.00,-1.00,-1.00,-1.00
Assault Corps 2,3,AOS GAME,AOS GAME,2607,1953,0,0.61,-1.00,-1.00,-1.00
Audio Arena,62,Skydome Studios,Skydome Studios,3650,2346,0,6.33,-1.00,-1.00,-1.00
The Blue Flamingo,7,Might and Delight,Might and Delight,160841,76119,1171,0.87,-1.00,-1.00,-1.00
SOMA,92,Frictional Games,Frictional Games,523712,331328,8603,23.97,-1.00,-1.00,-1.00
ICARUS.1,24,electrolyte,electrolyte,3910,2745,0,2.08,-1.00,-1.00,-1.00
Men of War: Condemned Heroes,22,1C-SoftClub,1C Company,140508,53179,781,1.93,-1.00,-1.00,-1.00
Starlight Inception,0,"Escape Hatch Entertainment, LLC","Escape Hatch Entertainment, LLC",5996,3128,0,0.22,-1.00,-1.00,-1.00
Dead Island Retro Revenge,9,Empty Clip Studios,Deep Silver,87068,15120,785,1.03,-1.00,-1.00,-1.00
Combat Raccoon,16,Sergej110,Sergej110,9124,2085,784,1.56,-1.00,-1.00,-1.00
Street Champ VR,100,Zynk Software Srl,Zynk Software Srl,1043,1171,0,17.00,-1.00,-1.00,-1.00
Mushroom Wars 2,39,Zillion Whales,Zillion Whales,17987,16684,3650,3.28,-1.00,-1.00,-1.00
Dead Island Definitive Edition,28,Techland,Deep Silver,314905,259119,14598,2.42,-1.00,-1.00,-1.00
FreeStyleFootball,28,Joycity,Joycity,611041,451764,2732,2.34,-1.00,-1.00,-1.00
Iron Crypticle,56,Confused Pelican,Tikipod Ltd,14598,4953,0,5.50,-1.00,-1.00,-1.00
Astro Tripper,10,PomPom,Pom Pom Games,30761,10688,0,1.12,-1.00,-1.00,-1.00
Days of War,7,Driven Arts,Driven Arts,16684,16162,778,0.89,-1.00,-1.00,-1.00
Tower of Guns,51,Terrible Posture Games,Terrible Posture Games LLC,284666,120957,1043,4.85,-1.00,-1.00,-1.00
Project Remedium,13,Atomic Jelly,"Movie Games S.A., PlayWay S.A.",7299,1961,0,1.33,-1.00,-1.00,-1.00
The Initiate,78,Deceptive Games Ltd.,Deceptive Games Ltd.,782,782,0,11.00,-1.00,-1.00,-1.00
CortexGear: AngryDroids,,"JH12world, Jordan Benoit",JH12world,102448,85765,1961,0.30,-1.00,-1.00,-1.00
Bio Menace,59,3D Realms (Apogee Software),3D Realms (Apogee Software),60739,5214,0,6.00,-1.00,-1.00,-1.00
Achievement Hunter: Overdose,9,putilin_industries,putilin_industries,9124,3650,0,1.06,-1.00,-1.00,-1.00
Streamline,33,Proletariat Inc.,Proletariat Inc.,569071,239046,781,2.72,-1.00,-1.00,-1.00
Sub Rosa,39,Cryptic Sea,Devolver Digital,12513,12252,3139,3.34,-1.00,-1.00,-1.00
Crazy Catman,17,oblomysh,oblomysh,68299,13295,1564,1.61,-1.00,-1.00,-1.00
Jeklynn Heights,33,"Vex Studios, LLC","Vex Studios, LLC",2085,1562,778,2.75,-1.00,-1.00,-1.00
FreeFly Burning,47,FanPlymouth,FanPlymouth,18769,785,785,4.00,-1.00,-1.00,-1.00
Escape Machines,5,Mint Age Studios,Back To Basics Gaming,368345,294832,1303,0.72,-1.00,-1.00,-1.00
The Witcher: Enhanced Edition Director's Cut,62,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",3761916,2674868,40667,6.37,-1.00,-1.00,-1.00
LSD,33,FossettGaming,FossettGaming,1825,0,0,2.80,-1.00,-1.00,-1.00
Shiperoids,47,Frizzank,Frizzank,3128,1564,0,4.00,-1.00,-1.00,-1.00
Virtual Rogue,11,Snowy Productions,Black Shell Media,13556,5735,0,1.15,-1.00,-1.00,-1.00
